value,m,s,n,n_arms,eps,f_eps,f_n_arms,n_users
1,61.70045371295383,2.272500285518878,6,20.0,0.7,0.7,20,101
2,62.61487123987135,3.8051769925419907,5,20.0,0.7,0.7,20,101
3,58.46324555074569,2.639910972989051,6,20.0,0.7,0.7,20,101
4,60.442075517075644,2.8406686659451843,6,20.0,0.7,0.7,20,101
5,59.31279078064806,1.8525576569330375,7,20.0,0.7,0.7,20,101
6,65.07548340548358,4.144326375679728,5,20.0,0.7,0.7,20,101
7,60.63528138528151,2.163386607670021,6,20.0,0.7,0.7,20,101
8,59.996127946128084,2.9990810473174263,6,20.0,0.7,0.7,20,101
9,79.88158369408382,6.386740480736618,2,20.0,0.7,0.7,20,101
10,61.261811799311914,5.222418055862124,6,20.0,0.7,0.7,20,101
11,66.32628149628167,2.309713519945707,5,20.0,0.7,0.7,20,101
12,74.57717560217569,5.2446303828266565,2,20.0,0.7,0.7,20,101
13,74.88082611832618,0.7803938584718775,2,20.0,0.7,0.7,20,101
14,65.08853715728728,2.4450683737432644,4,20.0,0.7,0.7,20,101
15,57.324085542694675,3.5009808169593715,7,20.0,0.7,0.7,20,101
16,61.45453435453448,5.131546863077065,6,20.0,0.7,0.7,20,101
17,60.21044372294384,1.9639271142119772,6,20.0,0.7,0.7,20,101
18,63.90109834609849,3.7265009760128516,5,20.0,0.7,0.7,20,101
19,62.380160395160544,5.574914546860254,5,20.0,0.7,0.7,20,101
20,66.63240995116004,2.781236346064043,4,20.0,0.7,0.7,20,101
1,43.3997710622711,4.038003438106912,4,20.0,0.8,0.8,20,101
2,41.85809944024235,3.7569800409851206,7,20.0,0.8,0.8,20,101
3,42.37799422799426,1.2076709193273472,3,20.0,0.8,0.8,20,101
4,39.581715969215985,3.6186372119215475,6,20.0,0.8,0.8,20,101
5,44.05229076479081,1.0429484680926033,4,20.0,0.8,0.8,20,101
6,45.477981740481766,5.35991038142289,4,20.0,0.8,0.8,20,101
7,42.50267232767237,4.148004171152689,6,20.0,0.8,0.8,20,101
8,42.59066812816817,2.901304392335381,6,20.0,0.8,0.8,20,101
9,41.02562770562773,2.2724837604318067,5,20.0,0.8,0.8,20,101
10,39.60315379065382,2.4412353881533435,8,20.0,0.8,0.8,20,101
11,49.17940670440679,2.5354907357191814,2,20.0,0.8,0.8,20,101
12,38.548677248677265,3.03625961009484,9,20.0,0.8,0.8,20,101
13,46.382184482184506,1.093727558494641,2,20.0,0.8,0.8,20,101
14,41.50729779479784,3.701166547849462,6,20.0,0.8,0.8,20,101
15,45.203775853775895,4.796258295784295,3,20.0,0.8,0.8,20,101
16,39.2139483532341,3.28003467405764,7,20.0,0.8,0.8,20,101
17,42.47240981240984,3.114987964845921,5,20.0,0.8,0.8,20,101
18,47.26723091723095,1.005176113904052,3,20.0,0.8,0.8,20,101
19,43.364792152292196,1.333499828509004,6,20.0,0.8,0.8,20,101
20,42.903124098124145,2.1711614632050846,5,20.0,0.8,0.8,20,101
1,23.751760461760448,1.543491297204268,5,20.0,0.9,0.9,20,101
3,20.274545454545443,1.468345820577279,5,20.0,0.9,0.9,20,101
4,21.565159840159826,2.864423761756801,7,20.0,0.9,0.9,20,101
5,22.095533910533895,3.4659102287697983,5,20.0,0.9,0.9,20,101
6,24.713383838383834,3.1316769593329705,2,20.0,0.9,0.9,20,101
7,21.992040945165932,2.5479377643486947,8,20.0,0.9,0.9,20,101
8,22.99525382025381,3.3685088880085075,3,20.0,0.9,0.9,20,101
9,22.17100769600769,1.2154325872924348,3,20.0,0.9,0.9,20,101
10,22.139941077441065,2.2968423540261163,6,20.0,0.9,0.9,20,101
11,21.805839299589287,1.920205462422792,8,20.0,0.9,0.9,20,101
12,20.308898323898315,1.071571328613893,5,20.0,0.9,0.9,20,101
13,20.431919931919918,1.436149461697704,6,20.0,0.9,0.9,20,101
14,21.76689884189883,3.3491936380019562,6,20.0,0.9,0.9,20,101
15,21.439000814000803,1.679184547562155,6,20.0,0.9,0.9,20,101
16,22.996163836163817,1.8434403246402642,5,20.0,0.9,0.9,20,101
17,22.429033189033177,2.1916764893176803,5,20.0,0.9,0.9,20,101
18,24.031709956709946,2.448707684290044,5,20.0,0.9,0.9,20,101
19,21.721070041070032,1.2145068326381285,5,20.0,0.9,0.9,20,101
20,23.34723887223886,2.0841108841623797,5,20.0,0.9,0.9,20,101
1,436.0964285714273,5.166930265384613,2,30.0,0.1,0.1,30,101
2,305.60634920634914,0.9184130961981268,3,30.0,0.1,0.1,30,101
3,441.8011904761894,9.227743494484333,2,30.0,0.1,0.1,30,101
4,309.2587301587299,7.783141534051287,3,30.0,0.1,0.1,30,101
5,310.2507936507934,0.5507484771739574,3,30.0,0.1,0.1,30,101
6,306.7507936507935,2.390430341683878,3,30.0,0.1,0.1,30,101
7,190.69404761904627,4.55046127835453,5,30.0,0.1,0.1,30,101
8,307.1132275132274,2.1490689408450945,3,30.0,0.1,0.1,30,101
9,234.2791666666664,3.2301315031418256,4,30.0,0.1,0.1,30,101
10,306.80476190476156,2.433581433629039,3,30.0,0.1,0.1,30,101
11,191.16214285714125,1.497207197893405,5,30.0,0.1,0.1,30,101
12,236.63809523809502,4.5524707145630785,4,30.0,0.1,0.1,30,101
13,307.67777777777764,5.11572557396764,3,30.0,0.1,0.1,30,101
14,308.5341269841269,5.5456180395572,3,30.0,0.1,0.1,30,101
15,161.1291005290998,1.447531905852016,6,30.0,0.1,0.1,30,101
16,306.8179894179892,2.9003612182110423,3,30.0,0.1,0.1,30,101
17,442.58749999999884,4.319243921747838,2,30.0,0.1,0.1,30,101
18,236.9095238095236,1.7666901979350746,4,30.0,0.1,0.1,30,101
19,308.67301587301546,3.5884628159849807,3,30.0,0.1,0.1,30,101
20,236.01130952380916,0.8936057708075438,4,30.0,0.1,0.1,30,101
22,307.21984126984114,7.9116695053127195,3,30.0,0.1,0.1,30,101
23,192.42785714285577,4.118482671827087,5,30.0,0.1,0.1,30,101
24,191.22976190476035,2.9919589420072437,5,30.0,0.1,0.1,30,101
25,236.98392857142852,2.4067502191826518,4,30.0,0.1,0.1,30,101
26,236.07797619047588,0.8390560307129429,4,30.0,0.1,0.1,30,101
28,237.6232142857139,2.793116860276813,4,30.0,0.1,0.1,30,101
29,304.9656084656083,3.4019995947921577,3,30.0,0.1,0.1,30,101
30,235.5503968253966,2.957789198677686,4,30.0,0.1,0.1,30,101
1,368.75476190476127,1.4310494381156682,2,30.0,0.2,0.2,30,101
2,382.0339285714276,4.479184741301903,2,30.0,0.2,0.2,30,101
3,215.02539682539665,1.323104899833589,4,30.0,0.2,0.2,30,101
4,373.312499999999,7.666216019364134,2,30.0,0.2,0.2,30,101
5,382.72023809523716,0.8603132504436141,2,30.0,0.2,0.2,30,101
6,152.2513227513226,3.4524730937042727,6,30.0,0.2,0.2,30,101
7,384.82142857142765,13.593286074524077,2,30.0,0.2,0.2,30,101
8,276.58849206349254,13.059272327598077,3,30.0,0.2,0.2,30,101
10,276.15912698412734,9.142042710294588,3,30.0,0.2,0.2,30,101
11,133.03286951144105,3.5666835060847712,7,30.0,0.2,0.2,30,101
12,276.1123015873021,3.6237039933113433,3,30.0,0.2,0.2,30,101
13,179.06150793650727,5.95061503566819,5,30.0,0.2,0.2,30,101
14,179.69055555555485,1.9555660720444683,5,30.0,0.2,0.2,30,101
15,377.48809523809416,10.882710079975698,2,30.0,0.2,0.2,30,101
16,176.6807936507928,3.5483788114387487,5,30.0,0.2,0.2,30,101
17,177.88674603174536,2.725309066521124,5,30.0,0.2,0.2,30,101
18,178.67785714285634,3.9325642227702877,5,30.0,0.2,0.2,30,101
19,277.1468253968256,4.262533262604894,3,30.0,0.2,0.2,30,101
20,273.79523809523846,6.507041907637663,3,30.0,0.2,0.2,30,101
21,380.3690476190467,10.653742169877152,2,30.0,0.2,0.2,30,101
23,177.3463492063485,3.082476367600427,5,30.0,0.2,0.2,30,101
24,378.83809523809435,9.906229286908502,2,30.0,0.2,0.2,30,101
25,384.699999999999,1.3199326582147735,2,30.0,0.2,0.2,30,101
26,275.7269841269844,4.68483848603237,3,30.0,0.2,0.2,30,101
27,274.3297619047624,3.0945063237541834,3,30.0,0.2,0.2,30,101
28,178.70992063491994,3.3853843608551895,5,30.0,0.2,0.2,30,101
29,152.54272486772453,3.9478681180373347,6,30.0,0.2,0.2,30,101
30,386.07976190476097,3.459772465091178,2,30.0,0.2,0.2,30,101
1,238.85277777777804,8.487358546806,3,30.0,0.3,0.3,30,101
2,238.4083333333335,1.542339437686481,3,30.0,0.3,0.3,30,101
3,241.20396825396858,5.38564670041663,3,30.0,0.3,0.3,30,101
