value,m,s,n,n_arms,eps,f_eps,f_n_arms,scaled_1,f_scaled_1,n_users,f_n_users
3,0.6211884920603746,0.02561411287213783,3,30.0,0.8,0.8,30,37.5,37.5,51.0,51
4,0.5821372548999337,0.01771926404570685,2,30.0,0.8,0.8,30,37.5,37.5,51.0,51
7,0.5752525252507821,0.03928371006580047,2,30.0,0.8,0.8,30,37.5,37.5,51.0,51
8,0.6177904040381955,0.022344375585372646,4,30.0,0.8,0.8,30,37.5,37.5,51.0,51
13,0.6060702972688452,0.025617762368661624,4,30.0,0.8,0.8,30,37.5,37.5,51.0,51
21,0.6087145015853637,0.02548576022465694,9,30.0,0.8,0.8,30,37.5,37.5,51.0,51
23,0.5799897119321006,0.017213766601422906,3,30.0,0.8,0.8,30,37.5,37.5,51.0,51
27,0.5913809523789324,0.018923524335024353,2,30.0,0.8,0.8,30,37.5,37.5,51.0,51
1,0.5732578397198729,0.004147374268297021,2,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
5,0.5859584145534135,0.010695082964830486,3,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
6,0.5916954909870434,0.032473857393892004,3,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
8,0.6020566239292129,0.009783154718436831,2,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
9,0.5780360531291511,0.036607647084202714,2,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
10,0.5776688453139888,0.02342369322274489,3,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
13,0.5749703651004103,0.008641857413453538,2,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
15,0.5893030261545695,0.021225248478587994,6,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
16,0.5690273477796366,0.04008033019265594,2,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
18,0.5602997967465837,0.0013437903260078892,2,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
20,0.5540832290348919,0.003001590112356659,2,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
24,0.5941532249410015,0.05251251362683212,4,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
25,0.575209942958139,0.017120263129929307,5,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
26,0.5782828282811708,0.026437308909061416,3,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
28,0.6093799682017733,0.0546724321010239,2,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
29,0.5827870934943258,0.050787369675303035,2,30.0,0.9,0.9,30,33.333333333333336,33.3333333333333,51.0,51
1,0.9692547723434872,0.043480317788667365,2,40.0,0.1,0.1,40,400.0,400,51.0,51
